molecule_chembl_id,canonical_smiles,assay_description,assay_type,target_organism,target_pref_name,bioactivity_class,standard_value,target_organism_canonical_smiles,target_organism_isomeric_smiles,"bioactivity_class_labels (0-inactive, 1-active, 2-intermediate)",MW,LogP,NumHDonors,NumHAcceptors
CHEMBL204499,NC(=O)c1ncn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)n1,Cytotoxicity against SARS coronavirus,A,SARS coronavirus,SARS coronavirus,inactive,100000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,240.219,-2.4278,4,7
CHEMBL203308,NC(=O)c1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)nn1,Cytotoxicity against SARS coronavirus,A,SARS coronavirus,SARS coronavirus,inactive,100000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,240.219,-2.4278,4,7
CHEMBL381539,NC(=O)c1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)cn1,Cytotoxicity against SARS coronavirus,A,SARS coronavirus,SARS coronavirus,inactive,100000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,239.231,-1.8228,4,6
CHEMBL225045,Nc1nc(O)c2[nH]cc([C@@H]3C=C(CO)[C@@H](O)[C@H]3O)c2n1,Antiviral activity against SARS coronavirus,F,SARS coronavirus,SARS coronavirus,inactive,100000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,278.268,-1.0166,6,7
CHEMBL224363,O=c1[nH]cc([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Antiviral activity against SARS coronavirus,F,SARS coronavirus,SARS coronavirus,inactive,100000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,240.215,-2.1991,5,5
CHEMBL225046,Nc1nc(=O)c([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c[nH]1,Antiviral activity against SARS coronavirus,F,SARS coronavirus,SARS coronavirus,inactive,100000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,239.231,-1.9102,5,6
CHEMBL397974,OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)[C@H](O)[C@@H]1O,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,48700,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,286.675,-0.9088,3,8
CHEMBL245019,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,13500,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,259.218,-2.7009,5,8
CHEMBL1643,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,82000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,244.207,-3.0115,4,8
CHEMBL243757,OCC1C(COCc2ccccc2)CC1n1cnc2c(Cl)ncnc21,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,14500,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,358.829,2.866,1,6
CHEMBL388704,OCC1CC(n2cnc3c(Cl)ncnc32)C1CO,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,300000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,268.704,0.6415,2,6
CHEMBL244381,OCC(CCn1cnc2c(Cl)ncnc21)COCc1ccccc1,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,300000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,346.818,2.6951,1,6
CHEMBL388932,OCC(CO)CCn1cnc2c(Cl)ncnc21,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,300000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,256.693,0.4706,2,6
CHEMBL244380,OC[C@@H]1C[C@@H](O)[C@H](n2cnc3c(Cl)ncnc32)O1,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,300000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,270.676,0.1204,2,7
CHEMBL244379,OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)C[C@@H]1O,Antiviral activity against SARS-CoV Frankfurt1 in Vero E6 cells by plaque reduction assay,F,SARS coronavirus,SARS coronavirus,inactive,300000,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,CC(C)C[C@H](C(=O)N[C@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2CCC(CC2)(F)F,0,270.676,0.1204,2,7
